topic,score,sentence,split,sentence_id,sentence_name,video_id,video_name,start,end,word_count,matches
INTRODUCTIONS,158,Hi my name is Keith Fitzpatrick.,train,1hB73-7GUFw_0,1hB73-7GUFw_0-5-rgb_front,1hB73-7GUFw,1hB73-7GUFw-5-rgb_front,0.72,2.13,6,hi | my name is
INTRODUCTIONS,158,"Hi, my name is Dave Andrews.",train,2Sk_fki9ZOg_0,2Sk_fki9ZOg_0-3-rgb_front,2Sk_fki9ZOg,2Sk_fki9ZOg-3-rgb_front,3.08,5.13,6,hi | my name is
INTRODUCTIONS,158,"Hi, my name is Elliot Kwong.",test,G2dND014Ps4_0,G2dND014Ps4_0-5-rgb_front,G2dND014Ps4,G2dND014Ps4-5-rgb_front,0.06,2.36,6,hi | my name is
INTRODUCTIONS,158,"Hi, my name is Lanie McCormick.",train,1bW7yGVA6GA_0,1bW7yGVA6GA_0-8-rgb_front,1bW7yGVA6GA,1bW7yGVA6GA-8-rgb_front,0.2,2.04,6,hi | my name is
INTRODUCTIONS,158,"Hi, my name is Lincoln Ward.",train,1iJg1Tm5Q1w_0,1iJg1Tm5Q1w_0-8-rgb_front,1iJg1Tm5Q1w,1iJg1Tm5Q1w-8-rgb_front,0.53,2.04,6,hi | my name is
INTRODUCTIONS,158,"Hi, my name is Mark Breaux.",train,cw66nEbqw2w_0,cw66nEbqw2w_0-9-rgb_front,cw66nEbqw2w,cw66nEbqw2w-9-rgb_front,0.54,1.69,6,hi | my name is
INTRODUCTIONS,158,"Hi, my name is Rosario Nene Ortega.",train,dEsle4TneCw_0,dEsle4TneCw_0-5-rgb_front,dEsle4TneCw,dEsle4TneCw-5-rgb_front,0.46,3.78,7,hi | my name is
INTRODUCTIONS,148,"Hi, my name is Guillermo Gomez, I coach soccer.",train,2iFx_uR3GBQ_0,2iFx_uR3GBQ_0-1-rgb_front,2iFx_uR3GBQ,2iFx_uR3GBQ-1-rgb_front,0.71,3.06,9,hi | my name is
INTRODUCTIONS,148,My name is Grady Johnson and I'm a professional painter.,train,15bYoBr7BWs_1,15bYoBr7BWs_1-8-rgb_front,15bYoBr7BWs,15bYoBr7BWs-8-rgb_front,1.22,4.06,10,my name is | i'm
INTRODUCTIONS,148,My name is Jared Garbett and I'm with Echo Farms.,train,cpcdTeyWHPc_1,cpcdTeyWHPc_1-8-rgb_front,cpcdTeyWHPc,cpcdTeyWHPc-8-rgb_front,5.55,7.88,10,my name is | i'm
INTRODUCTIONS,148,"Welcome to my studio today, my name is Lars Erik Robinson.",train,1dCbeG4mwVk_0,1dCbeG4mwVk_0-8-rgb_front,1dCbeG4mwVk,1dCbeG4mwVk-8-rgb_front,0.91,3.53,11,my name is | welcome
INTRODUCTIONS,145,"My name is Anthony Maddaloni, I am a professional photographer from Austin, Texas.",train,EQEjh8_dXSk_0,EQEjh8_dXSk_0-3-rgb_front,EQEjh8_dXSk,EQEjh8_dXSk-3-rgb_front,0.54,5.5,13,my name is | i am
INTRODUCTIONS,141,"Hi, I am Emily Larew.",train,1d3UApdR58M_0,1d3UApdR58M_0-8-rgb_front,1d3UApdR58M,1d3UApdR58M-8-rgb_front,0.91,2.24,5,hi | i am
INTRODUCTIONS,139,Hello welcome back!,validation,cw5evdziBB4_0,cw5evdziBB4_0-8-rgb_front,cw5evdziBB4,cw5evdziBB4-8-rgb_front,0.75,1.94,3,hello | welcome
INTRODUCTIONS,138,"Hello, my name is Sophia, I own the salon in Austin, Texas, Sophia Beauty Barber Salon.",train,01okYWMvD-0_0,01okYWMvD-0_0-3-rgb_front,01okYWMvD-0,01okYWMvD-0-3-rgb_front,0.76,7.24,16,hello | my name is
INTRODUCTIONS,135,"My name is Carl Fudrickson, and I am a world class expert in the flute.",train,eBrlZcccILg_4,eBrlZcccILg_4-3-rgb_front,eBrlZcccILg,eBrlZcccILg-3-rgb_front,12.43,17.39,15,my name is | i am
INTRODUCTIONS,135,My name is Anthony Maddaloni and I am going to be talking about how to create a photographer's resume.,train,23ZHgjVq8qM_0,23ZHgjVq8qM_0-5-rgb_front,23ZHgjVq8qM,23ZHgjVq8qM-5-rgb_front,0.86,5.31,19,my name is | i am
INTRODUCTIONS,134,"BILL ALBIN: Hello, I'm Bill Albin.",train,BFTBP-LfR0A_0,BFTBP-LfR0A_0-8-rgb_front,BFTBP-LfR0A,BFTBP-LfR0A-8-rgb_front,0.13,1.93,6,hello | i'm
INTRODUCTIONS,133,"Again, my name is Adriel Torres and I'm the owner of ultimatecredittoday.com.",train,-98tdkCF-sY_8,-98tdkCF-sY_8-5-rgb_front,-98tdkCF-sY,-98tdkCF-sY-5-rgb_front,63.45,67.05,13,my name is | i'm
INTRODUCTIONS,133,"My name is Calab Labarda, I'm a third degree black belt in Taekwondo.",train,20qFsdFD3io_1,20qFsdFD3io_1-8-rgb_front,20qFsdFD3io,20qFsdFD3io-8-rgb_front,4.36,7.21,13,my name is | i'm
INTRODUCTIONS,133,My name is Kristy I'm working at the Curves in West Jordan Utah.,validation,b9zJhvHGxyk_0,b9zJhvHGxyk_0-3-rgb_front,b9zJhvHGxyk,b9zJhvHGxyk-3-rgb_front,0.13,3.32,13,my name is | i'm
INTRODUCTIONS,133,"My name is Daniel King, and I'm an experienced pattern maker, designer and sewer.",train,-0N0jbyBW6g_2,-0N0jbyBW6g_2-5-rgb_front,-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,4.78,10.13,14,my name is | i'm
INTRODUCTIONS,133,My name is Deanna Gutierrez and I'm a high school teacher in San Jose.,train,-b4_y6LOSx0_0,-b4_y6LOSx0_0-8-rgb_front,-b4_y6LOSx0,-b4_y6LOSx0-8-rgb_front,0.22,3.85,14,my name is | i'm
INTRODUCTIONS,133,"ALLISON KLINGER: Hello, my name is Allison at Western Art Glass in Salt Lake City.",train,3mjTbgSBlhE_0,3mjTbgSBlhE_0-5-rgb_front,3mjTbgSBlhE,3mjTbgSBlhE-5-rgb_front,0.44,4.13,15,hello | my name is
INTRODUCTIONS,133,Hi! I'm Dr. Adrienne Mulligan and I am the owner of Camp Verde Veterinary Clinic.,test,g3kFAmcBpFc_0_1_3,g3kFAmcBpFc_0_1_3-3-rgb_front,g3kFAmcBpFc,g3kFAmcBpFc-3-rgb_front,1.04,26.77,15,hi | i'm | i am
INTRODUCTIONS,133,"Hello, my name is Adrian Arceo and now we're going to get into some first and third base coaching.",train,EGuNTfFR99Y_0,EGuNTfFR99Y_0-8-rgb_front,EGuNTfFR99Y,EGuNTfFR99Y-8-rgb_front,0.5,4.56,19,hello | my name is
INTRODUCTIONS,131,My name is Alexson.,train,3PNHgu8nVWA_1,3PNHgu8nVWA_1-5-rgb_front,3PNHgu8nVWA,3PNHgu8nVWA-5-rgb_front,4.03,5.2,4,my name is
INTRODUCTIONS,131,My name is Brandon.,train,01ucR6XreJw_1,01ucR6XreJw_1-5-rgb_front,01ucR6XreJw,01ucR6XreJw-5-rgb_front,0.19,0.88,4,my name is
INTRODUCTIONS,131,My name is Sylvia.,test,_G0MZFLIHa0_15,_G0MZFLIHa0_15-5-rgb_front,_G0MZFLIHa0,_G0MZFLIHa0-5-rgb_front,74.45,75.42,4,my name is
INTRODUCTIONS,131,My name is Abby Jones.,train,bVR-LN22vWk_0,bVR-LN22vWk_0-8-rgb_front,bVR-LN22vWk,bVR-LN22vWk-8-rgb_front,3.1,4.5,5,my name is
INTRODUCTIONS,131,My name is Alex Boye.,train,14309WSFpWg_1,14309WSFpWg_1-8-rgb_front,14309WSFpWg,14309WSFpWg-8-rgb_front,0.46,1.36,5,my name is
INTRODUCTIONS,131,My name is Allen Diwan.,test,FzoUVr98JmQ_1,FzoUVr98JmQ_1-8-rgb_front,FzoUVr98JmQ,FzoUVr98JmQ-8-rgb_front,0.37,1.02,5,my name is
INTRODUCTIONS,131,My name is Anthony Maddaloni.,train,5ok8y3eheq8_0,5ok8y3eheq8_0-1-rgb_front,5ok8y3eheq8,5ok8y3eheq8-1-rgb_front,0.65,2.29,5,my name is
INTRODUCTIONS,131,My name is Daniel Baldwin.,train,-0yRaqY7nTE_1,-0yRaqY7nTE_1-5-rgb_front,-0yRaqY7nTE,-0yRaqY7nTE-5-rgb_front,1.85,3.2,5,my name is
INTRODUCTIONS,131,My name is Daniel King.,train,-0N0jbyBW6g_10,-0N0jbyBW6g_10-5-rgb_front,-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,66.0,67.28,5,my name is
INTRODUCTIONS,131,My name is Dean Hale.,train,5Lh23UUvx2M_17,5Lh23UUvx2M_17-8-rgb_front,5Lh23UUvx2M,5Lh23UUvx2M-8-rgb_front,73.22,74.34,5,my name is
INTRODUCTIONS,131,My name is Jared Todd.,train,1lSZAzOSNGs_0,1lSZAzOSNGs_0-8-rgb_front,1lSZAzOSNGs,1lSZAzOSNGs-8-rgb_front,0.39,1.5,5,my name is
INTRODUCTIONS,131,My name is Leta Koontz.,train,028cpYJmYAk_1,028cpYJmYAk_1-8-rgb_front,028cpYJmYAk,028cpYJmYAk-8-rgb_front,3.34,4.52,5,my name is
INTRODUCTIONS,131,My name is Monique Richards.,train,1d1uWUUHJZQ_1,1d1uWUUHJZQ_1-3-rgb_front,1d1uWUUHJZQ,1d1uWUUHJZQ-3-rgb_front,3.1,4.45,5,my name is
INTRODUCTIONS,131,My name is Russ Handler.,train,C7IMvM4BwI8_2,C7IMvM4BwI8_2-8-rgb_front,C7IMvM4BwI8,C7IMvM4BwI8-8-rgb_front,5.61,6.74,5,my name is
INTRODUCTIONS,131,My name is Ryan Wells.,train,2KGzerm1dT0_0,2KGzerm1dT0_0-5-rgb_front,2KGzerm1dT0,2KGzerm1dT0-5-rgb_front,0.19,1.29,5,my name is
INTRODUCTIONS,131,My name is Sylvia Russell.,train,2YRCf37JylI_2,2YRCf37JylI_2-8-rgb_front,2YRCf37JylI,2YRCf37JylI-8-rgb_front,9.34,10.6,5,my name is
INTRODUCTIONS,131,My name is Terry Neven.,train,1th1WRwLP30_1,1th1WRwLP30_1-8-rgb_front,1th1WRwLP30,1th1WRwLP30-8-rgb_front,1.29,2.21,5,my name is
INTRODUCTIONS,129,"Hi, I'm Amelia.",train,Dvq-Fc0-Lxk_0,Dvq-Fc0-Lxk_0-5-rgb_front,Dvq-Fc0-Lxk,Dvq-Fc0-Lxk-5-rgb_front,0.65,1.46,3,hi | i'm
DAILY_COMMUNICATION,156,"Okay, thank you.",test,-g0sqksgyc4_10,-g0sqksgyc4_10-2-rgb_front,-g0sqksgyc4,-g0sqksgyc4-2-rgb_front,58.82,59.33,3,thank you | okay
DAILY_COMMUNICATION,137,Can you lift your knees for me please?,validation,cw5evdziBB4_12,cw5evdziBB4_12-8-rgb_front,cw5evdziBB4,cw5evdziBB4-8-rgb_front,57.26,58.84,8,please
DAILY_COMMUNICATION,136,That's okay.,train,-9nBmSvp2Co_9,-9nBmSvp2Co_9-8-rgb_front,-9nBmSvp2Co,-9nBmSvp2Co-8-rgb_front,40.76,41.23,2,okay | that's okay
DAILY_COMMUNICATION,136,And that's okay.,train,0C_NjyLtHwc_18,0C_NjyLtHwc_18-8-rgb_front,0C_NjyLtHwc,0C_NjyLtHwc-8-rgb_front,53.02,53.8,3,okay | that's okay
DAILY_COMMUNICATION,136,But that's okay.,train,-9nBmSvp2Co_5,-9nBmSvp2Co_5-8-rgb_front,-9nBmSvp2Co,-9nBmSvp2Co-8-rgb_front,25.23,26.21,3,okay | that's okay
DAILY_COMMUNICATION,136,That's okay though.,train,-AKdG2AyDW4_5,-AKdG2AyDW4_5-8-rgb_front,-AKdG2AyDW4,-AKdG2AyDW4-8-rgb_front,17.28,18.17,3,okay | that's okay
DAILY_COMMUNICATION,132,"Can you show us some sit-ups, please?",train,02aFykvwx6M_6,02aFykvwx6M_6-8-rgb_front,02aFykvwx6M,02aFykvwx6M-8-rgb_front,30.88,32.54,8,please
DAILY_COMMUNICATION,131,"If you don't get it automatically, that's okay.",train,ecerzCFJ7xg_3,ecerzCFJ7xg_3-8-rgb_front,ecerzCFJ7xg,ecerzCFJ7xg-8-rgb_front,12.99,15.68,8,okay | that's okay
DAILY_COMMUNICATION,131,"If you mess up a word, that's okay.",train,2lxxViTXhMs_4,2lxxViTXhMs_4-5-rgb_front,2lxxViTXhMs,2lxxViTXhMs-5-rgb_front,39.09,41.75,8,okay | that's okay
DAILY_COMMUNICATION,126,"And if it does that, that's okay.",train,0C_NjyLtHwc_39,0C_NjyLtHwc_39-8-rgb_front,0C_NjyLtHwc,0C_NjyLtHwc-8-rgb_front,129.5,130.76,7,okay | that's okay
DAILY_COMMUNICATION,124,Thank you for joining us.,train,1EVfV97X6iA_20,1EVfV97X6iA_20-5-rgb_front,1EVfV97X6iA,1EVfV97X6iA-5-rgb_front,133.85,134.55,5,thank you
DAILY_COMMUNICATION,119,Thank you.,train,-0N0jbyBW6g_11,-0N0jbyBW6g_11-5-rgb_front,-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,67.49,67.97,2,thank you
DAILY_COMMUNICATION,119,See you soon.,train,1El9Lb_fT68_21,1El9Lb_fT68_21-5-rgb_front,1El9Lb_fT68,1El9Lb_fT68-5-rgb_front,129.79,130.29,3,see you
DAILY_COMMUNICATION,119,See you then.,train,-1fUFbij2s0_37,-1fUFbij2s0_37-5-rgb_front,-1fUFbij2s0,-1fUFbij2s0-5-rgb_front,193.47,193.75,3,see you
DAILY_COMMUNICATION,119,"Thank you, guys.",train,bwvtAII4pG0_37,bwvtAII4pG0_37-5-rgb_front,bwvtAII4pG0,bwvtAII4pG0-5-rgb_front,104.1,104.61,3,thank you
DAILY_COMMUNICATION,119,"Thank you, Paul.",test,_fZbAxSSbX4_29,_fZbAxSSbX4_29-5-rgb_front,_fZbAxSSbX4,_fZbAxSSbX4-5-rgb_front,187.75,188.34,3,thank you
DAILY_COMMUNICATION,119,I'll see you there.,train,eJyZBuKIkk8_19,eJyZBuKIkk8_19-1-rgb_front,eJyZBuKIkk8,eJyZBuKIkk8-1-rgb_front,111.59,111.79,4,see you
DAILY_COMMUNICATION,119,Thank you for listening.,train,006DXpJ9erw_8,006DXpJ9erw_8-5-rgb_front,006DXpJ9erw,006DXpJ9erw-5-rgb_front,86.24,87.2,4,thank you
DAILY_COMMUNICATION,119,Thank you for watching.,train,1h1YkisCV_A_9,1h1YkisCV_A_9-8-rgb_front,1h1YkisCV_A,1h1YkisCV_A-8-rgb_front,107.58,108.62,4,thank you
DAILY_COMMUNICATION,119,Thank you so much.,train,025gAKRCIKY_12,025gAKRCIKY_12-3-rgb_front,025gAKRCIKY,025gAKRCIKY-3-rgb_front,73.33,74.05,4,thank you
DAILY_COMMUNICATION,119,Thank you very much.,train,-98tdkCF-sY_9,-98tdkCF-sY_9-5-rgb_front,-98tdkCF-sY,-98tdkCF-sY-5-rgb_front,67.14,68.07,4,thank you
DAILY_COMMUNICATION,119,Thank you guys so much.,train,1P6n7Tv8oco_24,1P6n7Tv8oco_24-8-rgb_front,1P6n7Tv8oco,1P6n7Tv8oco-8-rgb_front,121.97,122.92,5,thank you
DAILY_COMMUNICATION,116,"Maybe it takes you just a minute, but that's okay.",train,1gXWDKek85Y_35,1gXWDKek85Y_35-8-rgb_front,1gXWDKek85Y,1gXWDKek85Y-8-rgb_front,103.01,104.81,10,okay | that's okay
DAILY_COMMUNICATION,114,"Thank you everybody, I'm David O'Donnell.",test,g2ur4BIuN0Q_0,g2ur4BIuN0Q_0-3-rgb_front,g2ur4BIuN0Q,g2ur4BIuN0Q-3-rgb_front,0.28,2.68,6,thank you
DAILY_COMMUNICATION,114,Thank you for being with me.,test,g0TkUiO7t4I_13,g0TkUiO7t4I_13-8-rgb_front,g0TkUiO7t4I,g0TkUiO7t4I-8-rgb_front,107.79,110.88,6,thank you
DAILY_COMMUNICATION,114,I'm Robert Todd and thank you for watching.,train,F2p-lvoavoI_9,F2p-lvoavoI_9-5-rgb_front,F2p-lvoavoI,F2p-lvoavoI-5-rgb_front,66.27,68.36,8,thank you
DAILY_COMMUNICATION,114,"I'm Robert Todd, and thank you for watching.",train,24-pXXQodVQ_6,24-pXXQodVQ_6-5-rgb_front,24-pXXQodVQ,24-pXXQodVQ-5-rgb_front,69.74,71.77,8,thank you
DAILY_COMMUNICATION,114,I want to thank you guys for watching today.,train,1zQf384LX3M_17,1zQf384LX3M_17-8-rgb_front,1zQf384LX3M,1zQf384LX3M-8-rgb_front,83.31,85.32,9,thank you
DAILY_COMMUNICATION,112,How did you say you're sorry?,train,3CrOUbBvRkQ_9,3CrOUbBvRkQ_9-5-rgb_front,3CrOUbBvRkQ,3CrOUbBvRkQ-5-rgb_front,51.54,53.13,6,sorry
DAILY_COMMUNICATION,111,No big deal.,test,g0fgci8L_rc_24,g0fgci8L_rc_24-8-rgb_front,g0fgci8L_rc,g0fgci8L_rc-8-rgb_front,110.7,111.88,3,no big deal
DAILY_COMMUNICATION,111,That's no big deal.,train,0C_NjyLtHwc_19,0C_NjyLtHwc_19-8-rgb_front,0C_NjyLtHwc,0C_NjyLtHwc-8-rgb_front,54.29,55.04,4,no big deal
DAILY_COMMUNICATION,109,See you in the next step.,train,Cu1rDgWOZ9w_15,Cu1rDgWOZ9w_15-8-rgb_front,Cu1rDgWOZ9w,Cu1rDgWOZ9w-8-rgb_front,76.66,77.5,6,see you
DAILY_COMMUNICATION,109,See you just go the other way.,train,1K3GSPm6AKQ_6,1K3GSPm6AKQ_6-5-rgb_front,1K3GSPm6AKQ,1K3GSPm6AKQ-5-rgb_front,30.86,31.96,7,see you
DAILY_COMMUNICATION,109,Thank you and have a good day.,train,atQrRCf_Xxw_15,atQrRCf_Xxw_15-8-rgb_front,atQrRCf_Xxw,atQrRCf_Xxw-8-rgb_front,110.28,111.89,7,thank you
DAILY_COMMUNICATION,109,Stay safe and we'll see you next time.,train,e5SqBxoPVzw_7,e5SqBxoPVzw_7-5-rgb_front,e5SqBxoPVzw,e5SqBxoPVzw-5-rgb_front,69.62,71.31,8,see you
DAILY_COMMUNICATION,109,"Stay safe, and we'll see you next time.",train,-3bw4dQEyF8_8,-3bw4dQEyF8_8-5-rgb_front,-3bw4dQEyF8,-3bw4dQEyF8-5-rgb_front,76.93,78.86,8,see you
DAILY_COMMUNICATION,107,I feel horribly sorry.,train,3CrOUbBvRkQ_15,3CrOUbBvRkQ_15-5-rgb_front,3CrOUbBvRkQ,3CrOUbBvRkQ-5-rgb_front,79.64,81.56,4,sorry
DAILY_COMMUNICATION,107,And close your eyes please.,train,1TulVSuotyY_17,1TulVSuotyY_17-5-rgb_front,1TulVSuotyY,1TulVSuotyY-5-rgb_front,84.51,85.39,5,please
DAILY_COMMUNICATION,107,"Inhale, are we okay Gina?",train,1XVFT7Xyk00_8,1XVFT7Xyk00_8-5-rgb_front,1XVFT7Xyk00,1XVFT7Xyk00-5-rgb_front,69.81,72.24,5,okay
DAILY_COMMUNICATION,107,Okay what worked for me?,train,5dqnMgr62_w_2,5dqnMgr62_w_2-8-rgb_front,5dqnMgr62_w,5dqnMgr62_w-8-rgb_front,20.9,22.6,5,okay
DAILY_COMMUNICATION,107,"I have my knife in my hand, okay?",train,-fPRgGA3QYY_11,-fPRgGA3QYY_11-5-rgb_front,-fPRgGA3QYY,-fPRgGA3QYY-5-rgb_front,57.59,60.77,8,okay
DAILY_COMMUNICATION,104,"HARMONIE KRIEGER: Thank you, and I love that on you.",train,0CGoYyy61p8_22,0CGoYyy61p8_22-8-rgb_front,0CGoYyy61p8,0CGoYyy61p8-8-rgb_front,75.88,78.58,10,thank you
DAILY_COMMUNICATION,102,"Okay, Nick?",train,1ei1kVTw23A_17,1ei1kVTw23A_17-8-rgb_front,1ei1kVTw23A,1ei1kVTw23A-8-rgb_front,112.14,114.39,2,okay
DAILY_COMMUNICATION,102,Teri: Sorry.,train,0psMj0gsJjs_34,0psMj0gsJjs_34-5-rgb_front,0psMj0gsJjs,0psMj0gsJjs-5-rgb_front,102.1,103.12,2,sorry
DAILY_COMMUNICATION,102,"Teri: Okay, mud?",train,0psMj0gsJjs_29,0psMj0gsJjs_29-5-rgb_front,0psMj0gsJjs,0psMj0gsJjs-5-rgb_front,90.68,91.45,3,okay
DAILY_COMMUNICATION,102,This way please.,test,g3X3XE6M2_A_12,g3X3XE6M2_A_12-3-rgb_front,g3X3XE6M2_A,g3X3XE6M2_A-3-rgb_front,47.22,47.87,3,please
DAILY_COMMUNICATION,102,"Is that okay, Ellen?",validation,a4uz0W33REs_8,a4uz0W33REs_8-3-rgb_front,a4uz0W33REs,a4uz0W33REs-3-rgb_front,32.23,32.99,4,okay
DAILY_COMMUNICATION,102,"Okay, that was it?",train,cEmmjObvNZE_30,cEmmjObvNZE_30-5-rgb_front,cEmmjObvNZE,cEmmjObvNZE-5-rgb_front,126.47,128.27,4,okay
DAILY_COMMUNICATION,102,How to say you're sorry.,train,3CrOUbBvRkQ_1,3CrOUbBvRkQ_1-5-rgb_front,3CrOUbBvRkQ,3CrOUbBvRkQ-5-rgb_front,4.23,6.39,5,sorry
DAILY_COMMUNICATION,102,"It's just a game, okay?",train,brD68XY2rZs_30,brD68XY2rZs_30-8-rgb_front,brD68XY2rZs,brD68XY2rZs-8-rgb_front,118.89,120.72,5,okay
DAILY_COMMUNICATION,102,"And then you have your runners, okay?",train,0Klw2OYcfoE_14,0Klw2OYcfoE_14-5-rgb_front,0Klw2OYcfoE,0Klw2OYcfoE-5-rgb_front,102.45,105.9,7,okay
DAILY_COMMUNICATION,102,Okay so you see what we are doing?,test,fZM3IcM2Xs4_0,fZM3IcM2Xs4_0-10-rgb_front,fZM3IcM2Xs4,fZM3IcM2Xs4-10-rgb_front,0.27,1.99,8,okay
DAILY_COMMUNICATION,102,"Sir, could you please come on up with your dollar?",train,cQBrXCcfDyc_2,cQBrXCcfDyc_2-5-rgb_front,cQBrXCcfDyc,cQBrXCcfDyc-5-rgb_front,7.59,9.13,10,please
DAILY_COMMUNICATION,99,Take care.,train,5dodEz2r56M_16,5dodEz2r56M_16-8-rgb_front,5dodEz2r56M,5dodEz2r56M-8-rgb_front,83.94,84.39,2,take care
DAILY_COMMUNICATION,99,That's no problem.,train,1yq7yP8Dda8_14,1yq7yP8Dda8_14-8-rgb_front,1yq7yP8Dda8,1yq7yP8Dda8-8-rgb_front,68.39,69.27,3,no problem
DAILY_COMMUNICATION,97,I'm sorry is not good enough.,train,3CrOUbBvRkQ_21,3CrOUbBvRkQ_21-5-rgb_front,3CrOUbBvRkQ,3CrOUbBvRkQ-5-rgb_front,101.78,103.75,6,sorry
DAILY_COMMUNICATION,97,"I'm sorry, that's called the turn.",train,1eGSa8J2kko_12,1eGSa8J2kko_12-8-rgb_front,1eGSa8J2kko,1eGSa8J2kko-8-rgb_front,66.98,68.23,6,sorry
DAILY_COMMUNICATION,97,"But let's say this is ""you,"" okay?",train,DWvKuuJhmos_26,DWvKuuJhmos_26-8-rgb_front,DWvKuuJhmos,DWvKuuJhmos-8-rgb_front,123.63,126.81,7,okay
DAILY_COMMUNICATION,97,"Okay, so we got our beer, alright?",train,3uWEhIUwMrY_7,3uWEhIUwMrY_7-8-rgb_front,3uWEhIUwMrY,3uWEhIUwMrY-8-rgb_front,32.62,34.21,7,okay
DAILY_COMMUNICATION,97,"You need some type of glue, okay?",train,dvBdWGLzayI_4,dvBdWGLzayI_4-8-rgb_front,dvBdWGLzayI,dvBdWGLzayI-8-rgb_front,21.75,24.44,7,okay
REQUESTS_AND_NEEDS,149,Can you lift your knees for me please?,validation,cw5evdziBB4_12,cw5evdziBB4_12-8-rgb_front,cw5evdziBB4,cw5evdziBB4-8-rgb_front,57.26,58.84,8,can you
