topic,score,sentence,split,sentence_id,sentence_name,video_id,video_name,start,end,matches,source_file,row_number
HELLO,59,"Hi, I'm Tim Gipson.",train,1cj15Is-Wjs_0,1cj15Is-Wjs_0-8-rgb_front,1cj15Is-Wjs,1cj15Is-Wjs-8-rgb_front,0.43,1.36,hi,how2sign_train.csv,11694
HELLO,59,"DOUG JENKINS: Hi, I'm Doug.",train,ajzZA5OKRvc_0,ajzZA5OKRvc_0-5-rgb_front,ajzZA5OKRvc,ajzZA5OKRvc-5-rgb_front,0.11,1.38,hi,how2sign_train.csv,25912
HELLO,59,"Hello, my name is Scott.",train,1-9KdWON_R0_0,1-9KdWON_R0_0-5-rgb_front,1-9KdWON_R0,1-9KdWON_R0-5-rgb_front,0.75,1.7,hello,how2sign_train.csv,6102
HELLO,59,"Hello, my names Mark Blocker.",train,dewJbotk9UM_0,dewJbotk9UM_0-8-rgb_front,dewJbotk9UM,dewJbotk9UM-8-rgb_front,1.11,2.66,hello,how2sign_train.csv,29392
HELLO,59,"Hi, I am Emily Larew.",train,1d3UApdR58M_0,1d3UApdR58M_0-8-rgb_front,1d3UApdR58M,1d3UApdR58M-8-rgb_front,0.91,2.24,hi,how2sign_train.csv,11737
HELLO,59,"Hi, my name is Elliot.",train,2ckGjVDGnYE_0,2ckGjVDGnYE_0-8-rgb_front,2ckGjVDGnYE,2ckGjVDGnYE-8-rgb_front,0.88,2.26,hi,how2sign_train.csv,15871
HELLO,59,"Hi, my name's Lincoln Ward.",train,1_gd9m2tKvQ_0,1_gd9m2tKvQ_0-8-rgb_front,1_gd9m2tKvQ,1_gd9m2tKvQ-8-rgb_front,0.76,2.25,hi,how2sign_train.csv,11223
HELLO,59,"Hi, my name's Tim Cole.",train,fHPQ0WYfLmI_0,fHPQ0WYfLmI_0-5-rgb_front,fHPQ0WYfLmI,fHPQ0WYfLmI-5-rgb_front,0.52,1.95,hi,how2sign_train.csv,30963
HELLO,59,"JASON PAINTER: Hi, I'm Jason.",validation,33YRZ5UZTA4_0,33YRZ5UZTA4_0-2-rgb_front,33YRZ5UZTA4,33YRZ5UZTA4-2-rgb_front,0.0,0.98,hi,how2sign_val.csv,277
HELLO,59,"BILL ALBIN: Hello, I'm Bill Albin.",train,BFTBP-LfR0A_0,BFTBP-LfR0A_0-8-rgb_front,BFTBP-LfR0A,BFTBP-LfR0A-8-rgb_front,0.13,1.93,hello,how2sign_train.csv,19590
HELLO,59,Hi my name is Dave Andrews.,train,1hMYxtfhrzw_0,1hMYxtfhrzw_0-3-rgb_front,1hMYxtfhrzw,1hMYxtfhrzw-3-rgb_front,2.51,4.4,hi,how2sign_train.csv,12553
HELLO,59,Hi my name is Keith Fitzpatrick.,train,1hB73-7GUFw_0,1hB73-7GUFw_0-5-rgb_front,1hB73-7GUFw,1hB73-7GUFw-5-rgb_front,0.72,2.13,hi,how2sign_train.csv,12518
HELLO,59,"Hi, my name is Dave Andrews.",validation,33jxeIIbBnM_0,33jxeIIbBnM_0-1-rgb_front,33jxeIIbBnM,33jxeIIbBnM-1-rgb_front,0.69,5.66,hi,best_beginner_test_validation.csv,24
HELLO,59,"Hi, my name is Dave Andrews.",train,2Sk_fki9ZOg_0,2Sk_fki9ZOg_0-3-rgb_front,2Sk_fki9ZOg,2Sk_fki9ZOg-3-rgb_front,3.08,5.13,hi,how2sign_train.csv,15664
HELLO,59,"Hi, my name is Elliot Kwong.",validation,G2dND014Ps4_0,G2dND014Ps4_0-5-rgb_front,G2dND014Ps4,G2dND014Ps4-5-rgb_front,0.06,2.36,hi,best_beginner_test_validation.csv,25
HELLO,59,"Hi, my name is Elliot Kwong.",train,0Dv5umFVqv8_0,0Dv5umFVqv8_0-8-rgb_front,0Dv5umFVqv8,0Dv5umFVqv8-8-rgb_front,0.07,2.36,hi,how2sign_train.csv,4045
HELLO,59,"Hi, my name is Lanie McCormick.",train,1bW7yGVA6GA_0,1bW7yGVA6GA_0-8-rgb_front,1bW7yGVA6GA,1bW7yGVA6GA-8-rgb_front,0.2,2.04,hi,how2sign_train.csv,11454
HELLO,59,"Hi, my name is Lincoln Ward.",train,1iJg1Tm5Q1w_0,1iJg1Tm5Q1w_0-8-rgb_front,1iJg1Tm5Q1w,1iJg1Tm5Q1w-8-rgb_front,0.53,2.04,hi,how2sign_train.csv,12595
HELLO,59,"Hi, my name is Lincoln Ward.",train,Fm8dQO2A6PY_0,Fm8dQO2A6PY_0-5-rgb_front,Fm8dQO2A6PY,Fm8dQO2A6PY-5-rgb_front,0.69,2.12,hi,how2sign_train.csv,24653
HELLO,59,"Hi, my name is Mark Breaux.",train,cw66nEbqw2w_0,cw66nEbqw2w_0-9-rgb_front,cw66nEbqw2w,cw66nEbqw2w-9-rgb_front,0.54,1.69,hi,how2sign_train.csv,28731
HELLO,57,"CALAB LABARDA: Oh, hi.",train,20qFsdFD3io_0,20qFsdFD3io_0-8-rgb_front,20qFsdFD3io,20qFsdFD3io-8-rgb_front,0.0,4.08,hi,how2sign_train.csv,14855
HELLO,57,DR. CHRIS MANGO: Hi.,train,-8j9K3T5lkw_0,-8j9K3T5lkw_0-8-rgb_front,-8j9K3T5lkw,-8j9K3T5lkw-8-rgb_front,0.05,1.43,hi,how2sign_train.csv,543
HELLO,57,DR. SUSAN JEWELL: Hello.,train,1mR-3aBnMFo_0,1mR-3aBnMFo_0-8-rgb_front,1mR-3aBnMFo,1mR-3aBnMFo-8-rgb_front,0.04,0.58,hello,how2sign_train.csv,13258
HELLO,57,"Hello, this is Anthony.",train,13xhoBKaViM_0,13xhoBKaViM_0-8-rgb_front,13xhoBKaViM,13xhoBKaViM-8-rgb_front,0.69,1.95,hello,how2sign_train.csv,6747
HELLO,57,"Hello, this is JB.",train,-cv1gZaGtNk_0,-cv1gZaGtNk_0-5-rgb_front,-cv1gZaGtNk,-cv1gZaGtNk-5-rgb_front,0.33,1.94,hello,how2sign_train.csv,1680
HELLO,57,"Hello, this is JB.",train,C-i06Ssh0l8_0,C-i06Ssh0l8_0-8-rgb_front,C-i06Ssh0l8,C-i06Ssh0l8-8-rgb_front,0.65,2.0,hello,how2sign_train.csv,20370
HELLO,57,Woman 2: Oh hi.,train,_BOJ9cYPRe4_18,_BOJ9cYPRe4_18-8-rgb_front,_BOJ9cYPRe4,_BOJ9cYPRe4-8-rgb_front,45.68,48.37,hi,how2sign_train.csv,24881
HELLO,57,Hi guys how are doing?,train,1qksnbHvJLY_8,1qksnbHvJLY_8-8-rgb_front,1qksnbHvJLY,1qksnbHvJLY-8-rgb_front,50.3,56.56,hi,how2sign_train.csv,13948
HELLO,57,Hi this is Sean Hobson.,train,1UEZfuSvYuA_0,1UEZfuSvYuA_0-5-rgb_front,1UEZfuSvYuA,1UEZfuSvYuA-5-rgb_front,1.09,2.22,hi,how2sign_train.csv,10417
HELLO,57,Hi this is Sean Hobson.,train,cC-MiIPH-14_0,cC-MiIPH-14_0-8-rgb_front,cC-MiIPH-14,cC-MiIPH-14-8-rgb_front,1.96,3.17,hi,how2sign_train.csv,27912
HELLO,57,"Hi, this is David Duke.",train,1RKo1xJauj4_0,1RKo1xJauj4_0-5-rgb_front,1RKo1xJauj4,1RKo1xJauj4-5-rgb_front,0.4,1.38,hi,how2sign_train.csv,9880
HELLO,57,"Hi, this is Sean Hobson.",train,04DtdCu2kfg_0,04DtdCu2kfg_0-5-rgb_front,04DtdCu2kfg,04DtdCu2kfg-5-rgb_front,1.14,2.33,hi,how2sign_train.csv,3012
HELLO,57,"Hi, this is Sean Hobson.",train,1s3UAxaRWbI_0,1s3UAxaRWbI_0-8-rgb_front,1s3UAxaRWbI,1s3UAxaRWbI-8-rgb_front,0.45,1.81,hi,how2sign_train.csv,14147
HELLO,57,"Hi, this is Sean Hobson.",train,2Az2H4I1v2I_0,2Az2H4I1v2I_0-1-rgb_front,2Az2H4I1v2I,2Az2H4I1v2I-1-rgb_front,0.93,2.04,hi,how2sign_train.csv,15416
HELLO,57,"Hi, this is Sean Hobson.",train,55iR3RXwuTA_0,55iR3RXwuTA_0-8-rgb_front,55iR3RXwuTA,55iR3RXwuTA-8-rgb_front,1.5,2.64,hi,how2sign_train.csv,18614
HELLO,57,"Hi, this is Sean Hobson.",train,db_8cpiP0T4_0,db_8cpiP0T4_0-1-rgb_front,db_8cpiP0T4,db_8cpiP0T4-1-rgb_front,1.03,2.18,hi,how2sign_train.csv,29317
HELLO,57,Hi so what is green tea?,train,cZhGkz4jNnk_0,cZhGkz4jNnk_0-8-rgb_front,cZhGkz4jNnk,cZhGkz4jNnk-8-rgb_front,1.09,3.37,hi,how2sign_train.csv,28340
HELLO,54,"Hi, I'm Amelia.",train,Dvq-Fc0-Lxk_0,Dvq-Fc0-Lxk_0-5-rgb_front,Dvq-Fc0-Lxk,Dvq-Fc0-Lxk-5-rgb_front,0.65,1.46,hi,how2sign_train.csv,22623
NAME,171,My name is Alexson.,train,3PNHgu8nVWA_1,3PNHgu8nVWA_1-5-rgb_front,3PNHgu8nVWA,3PNHgu8nVWA-5-rgb_front,4.03,5.2,my name is | my name | name is,how2sign_train.csv,16833
NAME,171,My name is Brandon.,train,01ucR6XreJw_1,01ucR6XreJw_1-5-rgb_front,01ucR6XreJw,01ucR6XreJw-5-rgb_front,0.19,0.88,my name is | my name | name is,how2sign_train.csv,2616
NAME,171,My name is Sylvia.,validation,_G0MZFLIHa0_15,_G0MZFLIHa0_15-5-rgb_front,_G0MZFLIHa0,_G0MZFLIHa0-5-rgb_front,74.45,75.42,my name is | my name | name is,best_beginner_test_validation.csv,22
NAME,171,"Hello, my name is Scott.",train,1-9KdWON_R0_0,1-9KdWON_R0_0-5-rgb_front,1-9KdWON_R0,1-9KdWON_R0-5-rgb_front,0.75,1.7,my name is | my name | name is,how2sign_train.csv,6102
NAME,171,"Hi, my name is Elliot.",train,2ckGjVDGnYE_0,2ckGjVDGnYE_0-8-rgb_front,2ckGjVDGnYE,2ckGjVDGnYE-8-rgb_front,0.88,2.26,my name is | my name | name is,how2sign_train.csv,15871
NAME,171,My name is Abby Jones.,train,bVR-LN22vWk_0,bVR-LN22vWk_0-8-rgb_front,bVR-LN22vWk,bVR-LN22vWk-8-rgb_front,3.1,4.5,my name is | my name | name is,how2sign_train.csv,26896
NAME,171,My name is Alex Boye.,train,14309WSFpWg_1,14309WSFpWg_1-8-rgb_front,14309WSFpWg,14309WSFpWg-8-rgb_front,0.46,1.36,my name is | my name | name is,how2sign_train.csv,6789
NAME,171,My name is Allen Diwan.,validation,FzoUVr98JmQ_1,FzoUVr98JmQ_1-8-rgb_front,FzoUVr98JmQ,FzoUVr98JmQ-8-rgb_front,0.37,1.02,my name is | my name | name is,best_beginner_test_validation.csv,23
NAME,171,My name is Allen Diwan.,train,-9Kic0QsCYs_1,-9Kic0QsCYs_1-8-rgb_front,-9Kic0QsCYs,-9Kic0QsCYs-8-rgb_front,0.37,1.02,my name is | my name | name is,how2sign_train.csv,671
NAME,171,My name is Anthony Maddaloni.,train,5ok8y3eheq8_0,5ok8y3eheq8_0-1-rgb_front,5ok8y3eheq8,5ok8y3eheq8-1-rgb_front,0.65,2.29,my name is | my name | name is,how2sign_train.csv,19292
NAME,171,My name is Daniel Baldwin.,train,-0yRaqY7nTE_1,-0yRaqY7nTE_1-5-rgb_front,-0yRaqY7nTE,-0yRaqY7nTE-5-rgb_front,1.85,3.2,my name is | my name | name is,how2sign_train.csv,189
NAME,171,My name is Daniel King.,train,-0N0jbyBW6g_10,-0N0jbyBW6g_10-5-rgb_front,-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,66.0,67.28,my name is | my name | name is,how2sign_train.csv,130
NAME,171,My name is Dean Hale.,train,5Lh23UUvx2M_17,5Lh23UUvx2M_17-8-rgb_front,5Lh23UUvx2M,5Lh23UUvx2M-8-rgb_front,73.22,74.34,my name is | my name | name is,how2sign_train.csv,18813
NAME,171,My name is Jared Todd.,train,1lSZAzOSNGs_0,1lSZAzOSNGs_0-8-rgb_front,1lSZAzOSNGs,1lSZAzOSNGs-8-rgb_front,0.39,1.5,my name is | my name | name is,how2sign_train.csv,13102
NAME,171,My name is Leta Koontz.,train,028cpYJmYAk_1,028cpYJmYAk_1-8-rgb_front,028cpYJmYAk,028cpYJmYAk-8-rgb_front,3.34,4.52,my name is | my name | name is,how2sign_train.csv,2640
NAME,171,My name is Monique Richards.,train,1d1uWUUHJZQ_1,1d1uWUUHJZQ_1-3-rgb_front,1d1uWUUHJZQ,1d1uWUUHJZQ-3-rgb_front,3.1,4.45,my name is | my name | name is,how2sign_train.csv,11731
NAME,171,My name is Russ Handler.,train,C7IMvM4BwI8_2,C7IMvM4BwI8_2-8-rgb_front,C7IMvM4BwI8,C7IMvM4BwI8-8-rgb_front,5.61,6.74,my name is | my name | name is,how2sign_train.csv,20465
NAME,171,My name is Ryan Wells.,train,2KGzerm1dT0_0,2KGzerm1dT0_0-5-rgb_front,2KGzerm1dT0,2KGzerm1dT0-5-rgb_front,0.19,1.29,my name is | my name | name is,how2sign_train.csv,15559
NAME,171,My name is Sylvia Russell.,train,2YRCf37JylI_2,2YRCf37JylI_2-8-rgb_front,2YRCf37JylI,2YRCf37JylI-8-rgb_front,9.34,10.6,my name is | my name | name is,how2sign_train.csv,15739
NAME,171,My name is Sylvia Russell.,train,aPWX82zLo50_27,aPWX82zLo50_27-5-rgb_front,aPWX82zLo50,aPWX82zLo50-5-rgb_front,76.93,78.58,my name is | my name | name is,how2sign_train.csv,25596
NAME,171,My name is Terry Neven.,train,1th1WRwLP30_1,1th1WRwLP30_1-8-rgb_front,1th1WRwLP30,1th1WRwLP30-8-rgb_front,1.29,2.21,my name is | my name | name is,how2sign_train.csv,14331
NAME,171,"Again, my name is Wes Rhodes.",train,1_udNnVFDp4_27,1_udNnVFDp4_27-8-rgb_front,1_udNnVFDp4,1_udNnVFDp4-8-rgb_front,73.48,74.57,my name is | my name | name is,how2sign_train.csv,11273
NAME,171,Hi my name is Dave Andrews.,train,1hMYxtfhrzw_0,1hMYxtfhrzw_0-3-rgb_front,1hMYxtfhrzw,1hMYxtfhrzw-3-rgb_front,2.51,4.4,my name is | my name | name is,how2sign_train.csv,12553
NAME,171,Hi my name is Keith Fitzpatrick.,train,1hB73-7GUFw_0,1hB73-7GUFw_0-5-rgb_front,1hB73-7GUFw,1hB73-7GUFw-5-rgb_front,0.72,2.13,my name is | my name | name is,how2sign_train.csv,12518
NAME,171,"Hi, my name is Dave Andrews.",validation,33jxeIIbBnM_0,33jxeIIbBnM_0-1-rgb_front,33jxeIIbBnM,33jxeIIbBnM-1-rgb_front,0.69,5.66,my name is | my name | name is,best_beginner_test_validation.csv,24
NAME,171,"Hi, my name is Dave Andrews.",train,2Sk_fki9ZOg_0,2Sk_fki9ZOg_0-3-rgb_front,2Sk_fki9ZOg,2Sk_fki9ZOg-3-rgb_front,3.08,5.13,my name is | my name | name is,how2sign_train.csv,15664
NAME,171,"Hi, my name is Elliot Kwong.",validation,G2dND014Ps4_0,G2dND014Ps4_0-5-rgb_front,G2dND014Ps4,G2dND014Ps4-5-rgb_front,0.06,2.36,my name is | my name | name is,best_beginner_test_validation.csv,25
NAME,171,"Hi, my name is Elliot Kwong.",train,0Dv5umFVqv8_0,0Dv5umFVqv8_0-8-rgb_front,0Dv5umFVqv8,0Dv5umFVqv8-8-rgb_front,0.07,2.36,my name is | my name | name is,how2sign_train.csv,4045
NAME,171,"Hi, my name is Lanie McCormick.",train,1bW7yGVA6GA_0,1bW7yGVA6GA_0-8-rgb_front,1bW7yGVA6GA,1bW7yGVA6GA-8-rgb_front,0.2,2.04,my name is | my name | name is,how2sign_train.csv,11454
NAME,171,"Hi, my name is Lincoln Ward.",train,1iJg1Tm5Q1w_0,1iJg1Tm5Q1w_0-8-rgb_front,1iJg1Tm5Q1w,1iJg1Tm5Q1w-8-rgb_front,0.53,2.04,my name is | my name | name is,how2sign_train.csv,12595
NAME,171,"Hi, my name is Lincoln Ward.",train,Fm8dQO2A6PY_0,Fm8dQO2A6PY_0-5-rgb_front,Fm8dQO2A6PY,Fm8dQO2A6PY-5-rgb_front,0.69,2.12,my name is | my name | name is,how2sign_train.csv,24653
NAME,171,"Hi, my name is Mark Breaux.",train,cw66nEbqw2w_0,cw66nEbqw2w_0-9-rgb_front,cw66nEbqw2w,cw66nEbqw2w-9-rgb_front,0.54,1.69,my name is | my name | name is,how2sign_train.csv,28731
NAME,171,My name is Dr. Art Bowler.,train,--8pSDeC-fg_1,--8pSDeC-fg_1-5-rgb_front,--8pSDeC-fg,--8pSDeC-fg-5-rgb_front,0.99,2.58,my name is | my name | name is,how2sign_train.csv,12
NAME,171,My name is Lars Erik Robinson.,train,1P6n7Tv8oco_1,1P6n7Tv8oco_1-8-rgb_front,1P6n7Tv8oco,1P6n7Tv8oco-8-rgb_front,6.02,7.53,my name is | my name | name is,how2sign_train.csv,9443
NAME,163,"Hi, my name is Guillermo Gomez, I coach soccer.",train,2iFx_uR3GBQ_0,2iFx_uR3GBQ_0-1-rgb_front,2iFx_uR3GBQ,2iFx_uR3GBQ-1-rgb_front,0.71,3.06,my name is | my name | name is,how2sign_train.csv,15959
NAME,163,My name is Grady Johnson and I'm a professional painter.,train,15bYoBr7BWs_1,15bYoBr7BWs_1-8-rgb_front,15bYoBr7BWs,15bYoBr7BWs-8-rgb_front,1.22,4.06,my name is | my name | name is,how2sign_train.csv,7155
NAME,163,My name is Jared Garbett and I'm with Echo Farms.,train,cpcdTeyWHPc_1,cpcdTeyWHPc_1-8-rgb_front,cpcdTeyWHPc,cpcdTeyWHPc-8-rgb_front,5.55,7.88,my name is | my name | name is,how2sign_train.csv,28685
NAME,161,"Hi, my name is Rosario Nene Ortega.",train,dEsle4TneCw_0,dEsle4TneCw_0-5-rgb_front,dEsle4TneCw,dEsle4TneCw-5-rgb_front,0.46,3.78,my name is | my name | name is,how2sign_train.csv,28992
NAME,161,My name is Gabriela Garzon at G.G.,train,0KpJxzHyTUo_1,0KpJxzHyTUo_1-5-rgb_front,0KpJxzHyTUo,0KpJxzHyTUo-5-rgb_front,0.78,2.43,my name is | my name | name is,how2sign_train.csv,4739
NAME,161,My name is Joseph Shung Chiang Lee.,train,cBQbvdZQx3g_0,cBQbvdZQx3g_0-8-rgb_front,cBQbvdZQx3g,cBQbvdZQx3g-8-rgb_front,0.54,2.73,my name is | my name | name is,how2sign_train.csv,27899
NAME,161,"By the way, my name is Sylvia Russell.",validation,cYtd23-StEw_4,cYtd23-StEw_4-8-rgb_front,cYtd23-StEw,cYtd23-StEw-8-rgb_front,13.7,15.8,my name is | my name | name is,best_beginner_test_validation.csv,26
NAME,161,My name is Ashley Ludman from Seaside Yoga.,train,4EFBr4Oe2ZE_1,4EFBr4Oe2ZE_1-8-rgb_front,4EFBr4Oe2ZE,4EFBr4Oe2ZE-8-rgb_front,0.73,3.14,my name is | my name | name is,how2sign_train.csv,18180
NAME,161,My name is Lars Arts All Around Art-tainment.,train,1dCbeG4mwVk_1,1dCbeG4mwVk_1-8-rgb_front,1dCbeG4mwVk,1dCbeG4mwVk-8-rgb_front,3.53,6.75,my name is | my name | name is,how2sign_train.csv,11786
NAME,161,"My name is Pete Bailey, Skyline Thinning Company.",train,21GuMyj5bUw_0,21GuMyj5bUw_0-5-rgb_front,21GuMyj5bUw,21GuMyj5bUw-5-rgb_front,0.53,2.84,my name is | my name | name is,how2sign_train.csv,14944
NAME,161,My name is Robert Segundo and have fun.,validation,G19uBylwQww_19,G19uBylwQww_19-2-rgb_front,G19uBylwQww,G19uBylwQww-2-rgb_front,101.55,103.23,my name is | my name | name is,best_beginner_test_validation.csv,27
NAME,161,"Hi, my name is Cindy Mastry with Yoga Etc.",train,DUf34jVJjeY_0,DUf34jVJjeY_0-8-rgb_front,DUf34jVJjeY,DUf34jVJjeY-8-rgb_front,0.1,2.4,my name is | my name | name is,how2sign_train.csv,22108
NAME,161,"Hi, my name is Cindy Mastry with Yoga Etc.",train,bEAy71HZC9M_0,bEAy71HZC9M_0-1-rgb_front,bEAy71HZC9M,bEAy71HZC9M-1-rgb_front,0.1,2.2,my name is | my name | name is,how2sign_train.csv,26567
NAME,161,"My name is Dean Hale, have fun playing Monopoly.",train,5CGdJ5Cuv5M_16,5CGdJ5Cuv5M_16-8-rgb_front,5CGdJ5Cuv5M,5CGdJ5Cuv5M-8-rgb_front,69.11,71.98,my name is | my name | name is,how2sign_train.csv,18717
NAME,161,My name is Mike Lewis with Christian Martial Arts.,train,D_w6T4nO-KA_0,D_w6T4nO-KA_0-8-rgb_front,D_w6T4nO-KA,D_w6T4nO-KA-8-rgb_front,1.09,2.64,my name is | my name | name is,how2sign_train.csv,22232
NAME,161,"My name is Robert Segundo, and enjoy tying knots.",validation,d_V_K6ziiNA_18,d_V_K6ziiNA_18-8-rgb_front,d_V_K6ziiNA,d_V_K6ziiNA-8-rgb_front,76.74,79.4,my name is | my name | name is,best_beginner_test_validation.csv,28
MEETING,32,"If you find someone that you feel you're interested in dating at the office, say to that person, I would like to meet you for coffee, that's easy to chat about a few things after work, at this restaurant.",train,2-zlrJXlOGA_7,2-zlrJXlOGA_7-8-rgb_front,2-zlrJXlOGA,2-zlrJXlOGA-8-rgb_front,39.54,56.12,meet you,how2sign_train.csv,14804
FROM,71,I'm from suite 16 studio.,train,2-3DDnF8ZLk_1,2-3DDnF8ZLk_1-8-rgb_front,2-3DDnF8ZLk,2-3DDnF8ZLk-8-rgb_front,3.6,5.5,i'm from,how2sign_train.csv,14629
FROM,69,Where does ink come from?,train,aWQtkHYFJWo_0,aWQtkHYFJWo_0-5-rgb_front,aWQtkHYFJWo,aWQtkHYFJWo-5-rgb_front,0.63,1.94,come from,how2sign_train.csv,25750
FROM,69,It has to come from within.,train,3WEwTZHf8kI_5,3WEwTZHf8kI_5-5-rgb_front,3WEwTZHf8kI,3WEwTZHf8kI-5-rgb_front,22.93,24.62,come from,how2sign_train.csv,17078
FROM,69,Know where the bird come from.,train,b4bK9WtPz4A_19,b4bK9WtPz4A_19-5-rgb_front,b4bK9WtPz4A,b4bK9WtPz4A-5-rgb_front,103.19,105.59,come from,how2sign_train.csv,26450
FROM,61,I'm from the Chinese Kung Fu Academy.,train,1_udNnVFDp4_28,1_udNnVFDp4_28-8-rgb_front,1_udNnVFDp4,1_udNnVFDp4-8-rgb_front,74.57,75.96,i'm from,how2sign_train.csv,11274
FROM,61,You want to know where they come from.,train,bSr7V1-5eUI_7,bSr7V1-5eUI_7-8-rgb_front,bSr7V1-5eUI,bSr7V1-5eUI-8-rgb_front,42.09,43.42,come from,how2sign_train.csv,26848
FROM,59,It doesn't actually have to come from a plant.,train,1p2yqU9kWnw_7,1p2yqU9kWnw_7-8-rgb_front,1p2yqU9kWnw,1p2yqU9kWnw-8-rgb_front,53.83,57.33,come from,how2sign_train.csv,13686
FROM,51,I wanted to talk about where in the world do flower bulbs come from.,train,-70D86eMmIc_2,-70D86eMmIc_2-5-rgb_front,-70D86eMmIc,-70D86eMmIc-5-rgb_front,6.47,10.11,come from,how2sign_train.csv,442
FROM,49,"So always save those drawings, that's where some of these come from.",test,g2iFC1st7zQ_1,g2iFC1st7zQ_1-3-rgb_front,g2iFC1st7zQ,g2iFC1st7zQ-3-rgb_front,20.06,23.9,come from,how2sign_test.csv,2068
FROM,49,Whether or not the horse has just come from a strenuous competition.,test,G2Go6a76xd0_7,G2Go6a76xd0_7-5-rgb_front,G2Go6a76xd0,G2Go6a76xd0-5-rgb_front,37.99,42.92,come from,how2sign_test.csv,633
FROM,49,"Now these are called Gulf Pink Shrimp, so they come from the Gulf of Mexico.",train,EYEw-9w4dRI_3,EYEw-9w4dRI_3-3-rgb_front,EYEw-9w4dRI,EYEw-9w4dRI-3-rgb_front,19.19,22.81,come from,how2sign_train.csv,23489
FROM,46,"Green tea, you need to keep in mind, the best ones come from China and Japan.",train,cZhGkz4jNnk_1,cZhGkz4jNnk_1-8-rgb_front,cZhGkz4jNnk,cZhGkz4jNnk-8-rgb_front,3.92,8.74,come from,how2sign_train.csv,28341
FROM,44,"And, the tab is going to come from the inside going out or outside going in.",train,2Avq_ST7qPU_12,2Avq_ST7qPU_12-5-rgb_front,2Avq_ST7qPU,2Avq_ST7qPU-5-rgb_front,44.69,49.85,come from,how2sign_train.csv,15401
FROM,44,"Some of the best Shirazes come from Australia, and they can be very, very spicy indeed.",train,alsOytcPxas_8,alsOytcPxas_8-8-rgb_front,alsOytcPxas,alsOytcPxas-8-rgb_front,52.61,57.35,come from,how2sign_train.csv,25935
FROM,44,"Our knees are going to be soft, and the motion is going to come from our belly.",train,5YMC8pMGeTA_2,5YMC8pMGeTA_2-8-rgb_front,5YMC8pMGeTA,5YMC8pMGeTA-8-rgb_front,9.83,14.81,come from,how2sign_train.csv,19063
